Table 1
Rank,Team,Games,W-L,Goals Allowed,Per Game
1,Georgetown (Big East),6,6-0,38,6.33
2,Army West Point (Patriot),8,6-2,58,7.25
3,Providence (Big East),6,5-1,48,8.00
4,Vermont (America East),4,3-1,33,8.25
4,Dartmouth (Ivy League),4,3-1,33,8.25
6,UMBC (America East),5,4-1,42,8.40
7,Loyola Maryland (Patriot),6,4-2,52,8.67
8,Mercer (SoCon),7,6-1,62,8.86
9,Delaware (CAA),6,4-2,55,9.17
10,Manhattan (MAAC),6,3-3,56,9.33
11,Navy (Patriot),5,3-2,47,9.40
11,Syracuse (ACC),5,5-0,47,9.40
13,Denver (Big East),6,4-2,57,9.50
14,Lehigh (Patriot),6,5-1,58,9.67
15,Saint Joseph's (NEC),7,5-2,68,9.71
16,Bucknell (Patriot),6,5-1,59,9.83
17,North Carolina (ACC),7,7-0,70,10.00
18,Hofstra (CAA),7,4-3,71,10.14
18,Ohio St. (Big Ten),7,5-2,71,10.14
20,Brown (Ivy League),5,3-2,51,10.20
21,Hartford (America East),6,3-3,62,10.33
22,Richmond (SoCon),7,4-3,74,10.57
22,Marquette (Big East),7,3-4,74,10.57
22,Holy Cross (Patriot),7,4-3,74,10.57
25,Notre Dame (ACC),5,2-3,53,10.60
26,Monmouth (MAAC),6,2-4,64,10.67
27,Massachusetts (CAA),7,5-2,75,10.71
28,Princeton (Ivy League),5,5-0,54,10.80
29,Boston U. (Patriot),6,3-3,66,11.00
29,Utah (DI Independent),6,3-3,66,11.00
29,Jacksonville (SoCon),6,3-3,66,11.00
29,Penn St. (Big Ten),7,5-2,77,11.00
29,Air Force (SoCon),7,4-3,77,11.00
29,Duke (ACC),8,6-2,88,11.00
35,Marist (MAAC),6,3-3,67,11.17
35,Virginia (ACC),6,4-2,67,11.17
37,Harvard (Ivy League),4,2-2,45,11.25
38,Yale (Ivy League),4,3-1,46,11.50
39,UMass Lowell (America East),7,3-4,81,11.57
40,Mount St. Mary's (NEC),8,3-5,93,11.63
41,Bryant (NEC),7,3-4,82,11.71
42,Michigan (Big Ten),7,4-3,83,11.86
43,Hobart (NEC),5,4-1,60,12.00
43,Bellarmine (SoCon),8,2-6,96,12.00
45,NJIT (NEC),7,1-6,87,12.43
46,Rutgers (Big Ten),6,2-4,75,12.50
46,Drexel (CAA),6,3-3,75,12.50
46,Maryland (Big Ten),6,5-1,75,12.50
49,Cleveland St. (DI Independent),7,2-5,89,12.71
50,VMI (SoCon),4,0-4,51,12.75
51,Cornell (Ivy League),5,5-0,64,12.80
52,Stony Brook (America East),7,5-2,91,13.00
53,Villanova (Big East),7,4-3,92,13.14
54,Johns Hopkins (Big Ten),6,2-4,79,13.17
55,LIU (NEC),7,1-6,96,13.71
56,Robert Morris (NEC),6,4-2,83,13.83
57,Penn (Ivy League),5,2-3,70,14.00
57,Towson (CAA),6,0-6,84,14.00
59,St. Bonaventure (MAAC),6,0-6,85,14.17
59,Sacred Heart (NEC),6,1-5,85,14.17
61,St. John's (NY) (Big East),7,3-4,100,14.29
62,Binghamton (America East),6,1-5,86,14.33
63,Quinnipiac (MAAC),6,0-6,89,14.83
64,Wagner (NEC),6,1-5,92,15.33
65,Albany (NY) (America East),5,2-3,77,15.40
66,Fairfield (CAA),7,5-2,109,15.57
67,Siena (MAAC),6,2-4,96,16.00
68,Lafayette (Patriot),6,0-6,98,16.33
69,Furman (SoCon),7,1-6,115,16.43
70,Detroit Mercy (MAAC),5,2-3,84,16.80
71,Canisius (MAAC),5,0-5,85,17.00
71,High Point (SoCon),8,2-6,136,17.00
73,Colgate (Patriot),6,0-6,110,18.33
74,Hampton (DI Independent),6,0-6,125,20.83
