Table 1
Rank,Team,Games,W-L,Goals,Per Game
1,Hobart (NEC),5,4-1,98,19.60
2,Cornell (Ivy League),5,5-0,92,18.40
3,Princeton (Ivy League),5,5-0,90,18.00
4,North Carolina (ACC),7,7-0,125,17.86
5,Penn St. (Big Ten),7,5-2,121,17.29
6,Syracuse (ACC),5,5-0,83,16.60
7,Georgetown (Big East),6,6-0,99,16.50
8,Fairfield (CAA),7,5-2,115,16.43
8,Mercer (SoCon),7,6-1,115,16.43
10,Maryland (Big Ten),6,5-1,94,15.67
11,Duke (ACC),8,6-2,122,15.25
12,Drexel (CAA),6,3-3,89,14.83
13,Bucknell (Patriot),6,5-1,88,14.67
14,Yale (Ivy League),4,3-1,57,14.25
15,Lehigh (Patriot),6,5-1,84,14.00
15,Robert Morris (NEC),6,4-2,84,14.00
17,Ohio St. (Big Ten),7,5-2,97,13.86
18,Penn (Ivy League),5,2-3,69,13.80
19,Army West Point (Patriot),8,6-2,110,13.75
20,Virginia (ACC),6,4-2,82,13.67
21,Hofstra (CAA),7,4-3,95,13.57
22,Brown (Ivy League),5,3-2,67,13.40
23,Michigan (Big Ten),7,4-3,93,13.29
24,Marist (MAAC),6,3-3,79,13.17
24,Denver (Big East),6,4-2,79,13.17
26,Stony Brook (America East),7,5-2,92,13.14
27,Jacksonville (SoCon),6,3-3,77,12.83
27,Utah (DI Independent),6,3-3,77,12.83
29,Albany (NY) (America East),5,2-3,64,12.80
30,Richmond (SoCon),7,4-3,89,12.71
31,Detroit Mercy (MAAC),5,2-3,63,12.60
32,St. John's (NY) (Big East),7,3-4,88,12.57
32,Bryant (NEC),7,3-4,88,12.57
32,Villanova (Big East),7,4-3,88,12.57
35,Rutgers (Big Ten),6,2-4,75,12.50
36,High Point (SoCon),8,2-6,99,12.38
37,Notre Dame (ACC),5,2-3,61,12.20
38,Siena (MAAC),6,2-4,71,11.83
38,Delaware (CAA),6,4-2,71,11.83
40,UMBC (America East),5,4-1,59,11.80
40,Navy (Patriot),5,3-2,59,11.80
42,Harvard (Ivy League),4,2-2,47,11.75
43,Marquette (Big East),7,3-4,82,11.71
44,Colgate (Patriot),6,0-6,70,11.67
45,Providence (Big East),6,5-1,69,11.50
45,Loyola Maryland (Patriot),6,4-2,69,11.50
45,Dartmouth (Ivy League),4,3-1,46,11.50
48,LIU (NEC),7,1-6,79,11.29
49,Bellarmine (SoCon),8,2-6,90,11.25
50,Hartford (America East),6,3-3,67,11.17
51,Massachusetts (CAA),7,5-2,77,11.00
52,Johns Hopkins (Big Ten),6,2-4,65,10.83
53,Vermont (America East),4,3-1,43,10.75
54,Boston U. (Patriot),6,3-3,62,10.33
55,Saint Joseph's (NEC),7,5-2,72,10.29
55,Air Force (SoCon),7,4-3,72,10.29
57,Sacred Heart (NEC),6,1-5,58,9.67
58,Cleveland St. (DI Independent),7,2-5,66,9.43
59,Quinnipiac (MAAC),6,0-6,56,9.33
60,UMass Lowell (America East),7,3-4,65,9.29
61,Furman (SoCon),7,1-6,64,9.14
61,Holy Cross (Patriot),7,4-3,64,9.14
63,Mount St. Mary's (NEC),8,3-5,70,8.75
64,Manhattan (MAAC),6,3-3,51,8.50
65,Canisius (MAAC),5,0-5,41,8.20
66,VMI (SoCon),4,0-4,32,8.00
67,Wagner (NEC),6,1-5,47,7.83
68,NJIT (NEC),7,1-6,54,7.71
69,Lafayette (Patriot),6,0-6,42,7.00
69,Towson (CAA),6,0-6,42,7.00
69,Binghamton (America East),6,1-5,42,7.00
72,Monmouth (MAAC),6,2-4,41,6.83
73,St. Bonaventure (MAAC),6,0-6,37,6.17
74,Hampton (DI Independent),6,0-6,34,5.67
