Table 1
Rank,Player,Cl,Pos,Games,FOs Won,FOs Lost,FOs Taken,TM FOT,Pct.
1,"Mike Sisselberger, Lehigh (Patriot)",Jr.,M,7,129,35,164,197,0.787
2,"Demitri George, Quinnipiac (MAAC)",Jr.,M,6,96,32,128,132,0.75
3,"Tommy Burke, Vermont (America East)",So.,FO,8,131,55,186,217,0.704
4,"Matt Soutar, Monmouth (MAAC)",So.,M,6,83,36,119,122,0.697
5,"Zach Cole, Saint Joseph's (NEC)",So.,FO,9,149,66,215,223,0.693
6,"Petey LaSalla, Virginia (ACC)",Jr.,FO,13,220,109,329,391,0.669
7,"Brian Herber, Hofstra (CAA)",Sr.,FO,10,142,72,214,279,0.664
8,"Kyle Gallagher, Notre Dame (ACC)",Sr.,FO,7,67,34,101,175,0.663
9,"Jake Naso, Duke (ACC)",Fr.,FO,12,160,86,246,337,0.65
10,"Adam Shea , Hobart (NEC)",So.,M,5,60,33,93,132,0.645
11,"James Reilly, Georgetown (Big East)",Jr.,FO,10,119,67,186,249,0.64
12,"Alec Stathakis, Denver (Big East)",So.,FO,12,153,90,243,332,0.63
13,"Alex Jarzembowski, Detroit Mercy (MAAC)",Sr.,M,6,82,49,131,131,0.626
14,"Matthew  DeSouza, Binghamton (America East)",So.,FO,7,79,52,131,158,0.603
15,"Jacob Griffin, Richmond (SoCon)",Jr.,FO,8,58,39,97,235,0.598
16,"Frankie Labetti, Fairfield (CAA)",Sr.,FO,7,89,60,149,252,0.597
17,"Austin Deskewicz, Stony Brook (America East)",Jr.,FO,11,132,89,221,318,0.597
18,"Ashton Wood, Mercer (SoCon)",Jr.,FO,10,152,105,257,262,0.591
19,"Justin Coppola, Villanova (Big East)",So.,FO,8,104,72,176,204,0.591
20,"Nathan LaLiberte, Bryant (NEC)",Fr.,M,7,79,55,134,204,0.59
21,"Zachary Tucci, North Carolina (ACC)",Jr.,M,11,99,72,171,349,0.579
22,"Justin Inacio, Ohio St. (Big Ten)",Sr.,,7,108,82,190,224,0.568
23,"Bailey Savio, Loyola Maryland (Patriot)",Sr.,FO,9,114,87,201,256,0.567
24,"Gerard Arceri, Penn St. (Big Ten)",Sr.,FO,9,106,82,188,246,0.564
25,"Collin Hoben, High Point (SoCon)",So.,FO,8,72,56,128,295,0.562
26,"Nathan Kapp, Jacksonville (SoCon)",So.,FO,11,145,115,260,284,0.558
27,"Jacob Jarosz, Navy (Patriot)",Jr.,FO,5,40,32,72,145,0.556
27,"Emmerson Tyler, LIU (NEC)",So.,FO,6,60,48,108,234,0.556
29,"Sam Stephan, Mount St. Mary's (NEC)",Sr.,FO,9,88,72,160,306,0.55
